source,target,source_type,target_type,edge_type
PYO_21,FG_019,pyoverdine,functional_group,utilization
PYO_22,FG_019,pyoverdine,functional_group,utilization
PYO_23,FG_019,pyoverdine,functional_group,utilization
PYO_24,FG_019,pyoverdine,functional_group,utilization
PYO_25,FG_019,pyoverdine,functional_group,utilization
PYO_26,FG_019,pyoverdine,functional_group,utilization
PYO_27,FG_019,pyoverdine,functional_group,utilization
PYO_28,FG_019,pyoverdine,functional_group,utilization
PYO_12,FG_020,pyoverdine,functional_group,utilization
PYO_13,FG_020,pyoverdine,functional_group,utilization
PYO_32,FG_020,pyoverdine,functional_group,utilization
PYO_33,FG_020,pyoverdine,functional_group,utilization
PYO_34,FG_020,pyoverdine,functional_group,utilization
PYO_35,FG_020,pyoverdine,functional_group,utilization
PYO_36,FG_020,pyoverdine,functional_group,utilization
PYO_37,FG_020,pyoverdine,functional_group,utilization
PYO_38,FG_020,pyoverdine,functional_group,utilization
PYO_39,FG_020,pyoverdine,functional_group,utilization
PYO_40,FG_020,pyoverdine,functional_group,utilization
PYO_41,FG_020,pyoverdine,functional_group,utilization
PYO_42,FG_020,pyoverdine,functional_group,utilization
PYO_43,FG_020,pyoverdine,functional_group,utilization
PYO_44,FG_020,pyoverdine,functional_group,utilization
PYO_45,FG_020,pyoverdine,functional_group,utilization
PYO_53,FG_020,pyoverdine,functional_group,utilization
PYO_54,FG_020,pyoverdine,functional_group,utilization
PYO_90,FG_020,pyoverdine,functional_group,utilization
PYO_91,FG_020,pyoverdine,functional_group,utilization
PYO_92,FG_020,pyoverdine,functional_group,utilization
PYO_93,FG_020,pyoverdine,functional_group,utilization
PYO_76,FG_021,pyoverdine,functional_group,utilization
PYO_77,FG_021,pyoverdine,functional_group,utilization
PYO_78,FG_021,pyoverdine,functional_group,utilization
PYO_79,FG_021,pyoverdine,functional_group,utilization
PYO_81,FG_022,pyoverdine,functional_group,utilization
PYO_82,FG_022,pyoverdine,functional_group,utilization
PYO_83,FG_022,pyoverdine,functional_group,utilization
PYO_14,FG_023,pyoverdine,functional_group,utilization
PYO_15,FG_023,pyoverdine,functional_group,utilization
PYO_16,FG_023,pyoverdine,functional_group,utilization
PYO_17,FG_023,pyoverdine,functional_group,utilization
PYO_18,FG_023,pyoverdine,functional_group,utilization
PYO_19,FG_023,pyoverdine,functional_group,utilization
PYO_20,FG_023,pyoverdine,functional_group,utilization
PYO_14,FG_024,pyoverdine,functional_group,utilization
PYO_15,FG_024,pyoverdine,functional_group,utilization
PYO_16,FG_024,pyoverdine,functional_group,utilization
PYO_17,FG_024,pyoverdine,functional_group,utilization
PYO_18,FG_024,pyoverdine,functional_group,utilization
PYO_19,FG_024,pyoverdine,functional_group,utilization
PYO_20,FG_024,pyoverdine,functional_group,utilization
PYO_66,FG_024,pyoverdine,functional_group,utilization
PYO_14,FG_025,pyoverdine,functional_group,utilization
PYO_15,FG_025,pyoverdine,functional_group,utilization
PYO_16,FG_025,pyoverdine,functional_group,utilization
PYO_17,FG_025,pyoverdine,functional_group,utilization
PYO_18,FG_025,pyoverdine,functional_group,utilization
PYO_19,FG_025,pyoverdine,functional_group,utilization
PYO_20,FG_025,pyoverdine,functional_group,utilization
PYO_90,FG_025,pyoverdine,functional_group,utilization
PYO_91,FG_025,pyoverdine,functional_group,utilization
PYO_92,FG_025,pyoverdine,functional_group,utilization
PYO_93,FG_025,pyoverdine,functional_group,utilization
PYO_14,FG_026,pyoverdine,functional_group,utilization
PYO_15,FG_026,pyoverdine,functional_group,utilization
PYO_16,FG_026,pyoverdine,functional_group,utilization
PYO_17,FG_026,pyoverdine,functional_group,utilization
PYO_18,FG_026,pyoverdine,functional_group,utilization
PYO_19,FG_026,pyoverdine,functional_group,utilization
PYO_20,FG_026,pyoverdine,functional_group,utilization
PYO_32,FG_026,pyoverdine,functional_group,utilization
PYO_33,FG_026,pyoverdine,functional_group,utilization
PYO_34,FG_026,pyoverdine,functional_group,utilization
PYO_35,FG_026,pyoverdine,functional_group,utilization
PYO_36,FG_026,pyoverdine,functional_group,utilization
PYO_37,FG_026,pyoverdine,functional_group,utilization
PYO_38,FG_026,pyoverdine,functional_group,utilization
PYO_39,FG_026,pyoverdine,functional_group,utilization
PYO_40,FG_026,pyoverdine,functional_group,utilization
PYO_41,FG_026,pyoverdine,functional_group,utilization
PYO_42,FG_026,pyoverdine,functional_group,utilization
PYO_43,FG_026,pyoverdine,functional_group,utilization
PYO_44,FG_026,pyoverdine,functional_group,utilization
PYO_45,FG_026,pyoverdine,functional_group,utilization
PYO_14,FG_027,pyoverdine,functional_group,utilization
PYO_15,FG_027,pyoverdine,functional_group,utilization
PYO_16,FG_027,pyoverdine,functional_group,utilization
PYO_17,FG_027,pyoverdine,functional_group,utilization
PYO_18,FG_027,pyoverdine,functional_group,utilization
PYO_19,FG_027,pyoverdine,functional_group,utilization
PYO_20,FG_027,pyoverdine,functional_group,utilization
PYO_32,FG_027,pyoverdine,functional_group,utilization
PYO_33,FG_027,pyoverdine,functional_group,utilization
PYO_34,FG_027,pyoverdine,functional_group,utilization
PYO_35,FG_027,pyoverdine,functional_group,utilization
PYO_36,FG_027,pyoverdine,functional_group,utilization
PYO_37,FG_027,pyoverdine,functional_group,utilization
PYO_38,FG_027,pyoverdine,functional_group,utilization
PYO_39,FG_027,pyoverdine,functional_group,utilization
PYO_40,FG_027,pyoverdine,functional_group,utilization
PYO_41,FG_027,pyoverdine,functional_group,utilization
PYO_42,FG_027,pyoverdine,functional_group,utilization
PYO_43,FG_027,pyoverdine,functional_group,utilization
PYO_44,FG_027,pyoverdine,functional_group,utilization
PYO_45,FG_027,pyoverdine,functional_group,utilization
PYO_66,FG_027,pyoverdine,functional_group,utilization
PYO_14,FG_028,pyoverdine,functional_group,utilization
PYO_15,FG_028,pyoverdine,functional_group,utilization
PYO_16,FG_028,pyoverdine,functional_group,utilization
PYO_17,FG_028,pyoverdine,functional_group,utilization
PYO_18,FG_028,pyoverdine,functional_group,utilization
PYO_19,FG_028,pyoverdine,functional_group,utilization
PYO_20,FG_028,pyoverdine,functional_group,utilization
PYO_32,FG_028,pyoverdine,functional_group,utilization
PYO_33,FG_028,pyoverdine,functional_group,utilization
PYO_34,FG_028,pyoverdine,functional_group,utilization
PYO_35,FG_028,pyoverdine,functional_group,utilization
PYO_36,FG_028,pyoverdine,functional_group,utilization
